_match_key,event_id,match_confidence,home_team,away_team,is_home,status,goals_prevented,goals_prevented_value,crosses,crosses_value,dribbles,dribbles_value,offsides,offsides_value,shots_off_target,shots_off_target_value,shots_on_target,shots_on_target_value,counter_attacks,counter_attacks_value,corner_kicks,corner_kicks_value,possession_lost,possession_lost_value,big_chances,big_chances_value,clearances,clearances_value,tackles,tackles_value,expected_goals,expected_goals_value,long_balls,long_balls_value,free_kicks,free_kicks_value,ball_possession,ball_possession_value,interceptions,interceptions_value,big_chances_missed,big_chances_missed_value,blocked_shots,blocked_shots_value,passes,passes_value,goalkeeper_saves,goalkeeper_saves_value,red_cards,red_cards_value,total_shots,total_shots_value,duels_won,duels_won_value,fouls,fouls_value,accurate_passes,accurate_passes_value,yellow_cards,yellow_cards_value,shots_outside_box,shots_outside_box_value,goal_kicks,goal_kicks_value,shots_inside_box,shots_inside_box_value,throw_ins,throw_ins_value,counter_attack_shots,counter_attack_shots_value,aerials_won,aerials_won_value,error,lookup_error
game:4649513|team:rangers football club,14035258,2.39,Hibernian,Rangers,False,finished,0.84,0.8351,7/30 (23%),7.0,11/18 (61%),11.0,3,3.0,2,2.0,2,2.0,,,8,8.0,,,0,0.0,44,44.0,25,25.0,0.58,0.58,16/39 (41%),16.0,13,13.0,55%,55.0,3,3.0,0,0.0,8,8.0,407,407.0,6,6.0,,,12,12.0,,,5,5.0,341,341.0,2,2.0,7,7.0,6,6.0,5,5.0,16,16.0,,,,,,
game:4648820|team:sport lisboa e benfica,14288966,2.39,Tondela,Benfica,False,finished,0.02,0.0152,8/42 (19%),8.0,10/26 (38%),10.0,,,9,9.0,8,8.0,,,13,13.0,,,4,4.0,14,14.0,14,14.0,2.10,2.1,20/44 (45%),20.0,19,19.0,77%,77.0,6,6.0,4,4.0,7,7.0,593,593.0,1,1.0,,,24,24.0,,,5,5.0,501,501.0,0,0.0,9,9.0,13,13.0,15,15.0,35,35.0,,,,,,
game:4648821|team:sporting clube de braga,14288968,2.55,AVS - Futebol SAD,Sporting Braga,False,finished,0.20,0.2029,4/12 (33%),4.0,7/18 (39%),7.0,5,5.0,2,2.0,8,8.0,,,4,4.0,,,6,6.0,26,26.0,21,21.0,2.27,2.27,28/56 (50%),28.0,3,3.0,67%,67.0,3,3.0,3,3.0,0,0.0,683,683.0,3,3.0,,,10,10.0,,,6,6.0,612,612.0,1,1.0,1,1.0,4,4.0,9,9.0,19,19.0,,,,,,
game:4648817|team:sporting clube de portugal,14288960,2.385,Sporting CP,CD Nacional,True,finished,0.24,0.2371,6/33 (18%),6.0,15/27 (56%),15.0,3,3.0,6,6.0,7,7.0,,,11,11.0,,,3,3.0,21,21.0,13,13.0,1.78,1.78,21/38 (55%),21.0,15,15.0,62%,62.0,4,4.0,2,2.0,3,3.0,541,541.0,2,2.0,,,16,16.0,,,12,12.0,461,461.0,0,0.0,5,5.0,4,4.0,11,11.0,23,23.0,,,,,,
game:4647941|team:trabzonspor kulubu,14109783,2.47,Antalyaspor,Trabzonspor,False,finished,-0.51,-0.5078,9/29 (31%),9.0,12/20 (60%),12.0,4,4.0,7,7.0,4,4.0,,,9,9.0,,,2,2.0,13,13.0,22,22.0,1.93,1.93,31/39 (79%),31.0,17,17.0,69%,69.0,11,11.0,1,1.0,3,3.0,458,458.0,1,1.0,,,14,14.0,,,12,12.0,406,406.0,2,2.0,4,4.0,7,7.0,10,10.0,18,18.0,,,,,,
game:4648825|team:vitoria sport clube,14288973,2.42,VitÃ³ria SC,Moreirense,True,finished,0.68,0.6764,4/18 (22%),4.0,9/15 (60%),9.0,2,2.0,8,8.0,2,2.0,,,5,5.0,,,1,1.0,14,14.0,16,16.0,1.79,1.79,19/47 (40%),19.0,11,11.0,43%,43.0,13,13.0,0,0.0,4,4.0,364,364.0,5,5.0,,,14,14.0,,,19,19.0,284,284.0,2,2.0,5,5.0,7,7.0,9,9.0,12,12.0,,,,,,
game:4715982|team:the celtic football club,14572731,2.42,Celtic,FC Utrecht,True,finished,-1.38,-1.3817,4/18 (22%),4.0,2/9 (22%),2.0,1,1.0,2,2.0,5,5.0,,,9,9.0,,,3,3.0,17,17.0,18,18.0,2.66,2.66,11/24 (46%),11.0,6,6.0,52%,52.0,5,5.0,,,3,3.0,492,492.0,1,1.0,,,10,10.0,,,12,12.0,425,425.0,2,2.0,1,1.0,5,5.0,9,9.0,22,22.0,,,,,,
game:4715919|team:futebol clube do porto,14572632,2.42,FC Porto,Rangers,True,finished,-0.28,-0.2812,2/18 (11%),2.0,7/15 (47%),7.0,3,3.0,7,7.0,3,3.0,,,4,4.0,,,2,2.0,22,22.0,16,16.0,1.60,1.6,12/23 (52%),12.0,13,13.0,41%,41.0,8,8.0,,,2,2.0,339,339.0,1,1.0,,,12,12.0,,,17,17.0,291,291.0,0,0.0,5,5.0,7,7.0,7,7.0,20,20.0,,,,,,
game:4715947|team:fussballclub red bull salzburg,14572676,2.47,Aston Villa,Red Bull Salzburg,False,finished,-0.44,-0.4362,0/7 (0%),0.0,8/15 (53%),8.0,6,6.0,4,4.0,7,7.0,,,2,2.0,,,5,5.0,25,25.0,21,21.0,2.73,2.73,20/50 (40%),20.0,8,8.0,35%,35.0,11,11.0,4,4.0,3,3.0,364,364.0,6,6.0,,,14,14.0,,,13,13.0,290,290.0,1,1.0,5,5.0,7,7.0,9,9.0,8,8.0,,,,,,
game:4716012|team:fenerbahce spor kulubu,14572778,2.39,FCSB,FenerbahÃ§e,False,finished,1.87,1.8676,7/20 (35%),7.0,7/24 (29%),7.0,3,3.0,8,8.0,8,8.0,,,5,5.0,,,4,4.0,11,11.0,18,18.0,1.54,1.54,25/52 (48%),25.0,11,11.0,66%,66.0,11,11.0,3,3.0,1,1.0,621,621.0,7,7.0,,,17,17.0,,,11,11.0,528,528.0,3,3.0,6,6.0,9,9.0,11,11.0,22,22.0,,,,,,
